190	-9.61274331454309
191	-8.1654830762055
192	-0.595441520078466
193	12.7968946989671
194	-7.39650871603499
195	7.23515701936656
196	0.400151163231392
197	16.2873812362677
198	10.7984108497118
199	12.9985479912681
200	-0.762842893232376
201	-6.86547628451256
202	-15.8804999806934
203	-21.1673602137475
204	-29.4631593394864
205	-29.8224656103649
206	-30.9945881093643
207	-33.8633582949115
208	-33.523534024565
209	-32.8877369899353
210	-31.4955525297156
211	-31.4386530331344
212	-31.0288636139578
213	-30.5516214445825
214	-31.5825649206763
215	-31.6359096762461
216	-33.595824247764
217	-35.1052972833069
218	-35.7002646623252
219	-37.2019499427008
220	-39.2957333011743
221	-40.6095573069989
222	-40.7019142201763
223	-41.1744692695213
224	-41.3474670977753
225	-40.0889236383197
226	-38.8157308730648
227	-35.9756438802287
228	-33.4257245368515
229	-30.49412020972
230	-27.2684313618535
231	-23.858691796087
232	-20.3145484939753
233	-17.8983583430717
234	-15.3223595204468
235	-12.9356936954337
236	-11.0366989434016
237	-9.51529105545362
238	-8.42982015849536
239	-7.01272613989439
240	-6.04297738896474
241	-5.39519811040532
242	-4.59522085122108
243	-4.30047713472149
244	-3.85663094815499
245	-3.49537932659642
246	-3.0459608196691
247	-3.28432153526547
248	-3.05227966109545
249	-3.08597941865123
250	-2.71748992214649
251	-2.84513275184018
252	-2.74833002191698
253	-2.50734473679394
254	-2.70732433500497
255	-2.70229629235135
256	-2.60722264266732
257	-2.75836938352002
258	-2.78647581696876
259	-2.95434990363623
260	-2.72666463265369
