190	8.77086984888669
191	-9.77303644812105
192	3.84269643503195
193	5.43548181683113
194	-1.24393233909217
195	12.7452038824026
196	13.6527634890696
197	18.8796279559872
198	20.3838313700806
199	23.1458877275829
200	21.297366109393
201	17.8433971263277
202	16.6588979659605
203	15.6461243406023
204	8.36810948430822
205	8.6699802709613
206	1.56886265148931
207	-1.13942475715472
208	-2.5401270749963
209	-4.85683065527374
210	-6.20194830143616
211	-8.6467012249256
212	-9.60316760860854
213	-10.883325499848
214	-10.4848837690678
215	-12.0571616592354
216	-12.5088932619858
217	-15.1918834412624
218	-14.0296065380098
219	-17.4920362250872
220	-17.8324691452067
221	-18.3807284171886
222	-19.2378932288707
223	-20.0105825218111
224	-19.9741178584644
225	-19.5297722507966
226	-20.3910919619996
227	-20.1303373965096
228	-20.2840632933416
229	-20.5165062473851
230	-20.3486529011948
231	-19.5809640920114
232	-18.9476163291947
233	-18.1345086403198
234	-17.0031030024833
235	-16.3103570426527
236	-14.6053569299045
237	-13.7213954118216
238	-12.2454796976851
239	-10.800712381763
240	-10.0758067765463
241	-9.13452546503749
242	-7.84550982036098
243	-7.34988174555831
244	-6.05546965422408
245	-5.86645661755387
246	-4.86504748225889
247	-4.43098426808634
248	-3.9392736485686
249	-3.91916755391897
250	-3.52998130409615
251	-3.61718388004329
252	-3.85959639732931
253	-3.19476287240566
254	-3.31880312905625
255	-3.30707264389428
256	-2.92779371875319
257	-2.87709515289956
258	-2.70625009735428
259	-2.54192208933995
260	-2.70380896998585
